position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
11	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	pUdBv_WuQ20	2016-12-22T20:00:44.000Z	2016-12-22 21:00:44	Bill O'Reilly Donald Trump FULL video Interview	Bill O'Reilly Donald Trump FULL video Interview Donald Trump	25	News & Politics	PT15M7S	907	2d	sd	false	1	49	0	0	0	0
12	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	5bgrtmDNEr8	2016-12-22T19:59:00.000Z	2016-12-22 20:59:00	Donald Trump Puts American Sovereignty Ahead of Illegals	You can support Trump's policies without supporting the man.	25	News & Politics	PT1M1S	61	2d	hd	false	1	3	1	0	0	0
13	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	TEMCIqcfBto	2016-12-22T20:02:28.000Z	2016-12-22 21:02:28	Donald Trump talks press coverage, campaign's war chest, RNC.	Republican presidential nominee sits down with Bret Baier on 'Special Report'.	22	People & Blogs	PT11M26S	686	2d	hd	false	1	2	0	0	0	0
14	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	35OujChnn3w	2016-12-22T19:58:11.000Z	2016-12-22 20:58:11	Ron Paul on Donald Trump presidential win		25	News & Politics	PT22M2S	1322	2d	sd	false		11	0	0	0	0
15	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	KNRrzUEAvhw	2016-12-22T19:59:13.000Z	2016-12-22 20:59:13	Social Justice Warriors React To Donald Trump	NEW LIBERAL TEARS MUG: https://goo.gl/alRgkG Social Justice Warriors React To Donald Trump Victory Trigger Warning - Cringe SJW'S Getting Owned & Triggered By Donald Trumps Victory. Hugh Mungus, SJW, BLM, Feminism, & Protest Fails In One Comp. SJW'S, Black Lives Matter, & Triggered Feminists Rekt VS Racist, Sexist, Misogynistic, Xenophobic, Islamophobic, & Privileged Fails. "Social justice warrior" (commonly abbreviated SJW) is a pejorative term for an individual promoting socially progressive views including feminism,civil rights, multiculturalism, inclusiveness, and identity politics. The accusation of being an SJW carries implications of pursuing personal validation rather than any deep-seated conviction, and being engaged in disingenuous social justice arguments or activism to raise personal reputation. Social justice warriors believe in an extreme left-wing ideology that combines feminism, progressivism, and political correctness into a totalitarian system that attempts to censor speech and promote fringe lifestyles while actively discriminating against men, particularly white men. They are the internet activist arm of Western progressivism that acts as a vigilante group to ensure compliance and homogeny of far left thought. America woke up Wednesday to a new and unexpected reality — Donald J. Trump will be the next president of the United States. In a resounding rebuke to the political establishment, the Manhattan mogul and reality TV star was elected the 45th commander in chief following one of the most bitter and wildly unpredictable campaigns in the nation's history. Trump, in an upset for the ages, defeated former Secretary of State Hillary Clinton by running the table in battleground states across the country — from Florida and North Carolina to Ohio and Pennsylvania. He declared victory Tuesday night before a large crowd of enthusiastic supporters, pledging to help unite the country after his rancorous battle with the Democratic nominee. FEMINAZI,Feminazi,feminist,feminism,compilation,cringe,feminists,social justice warrior,rekt,triggered,sjw,hugh mungus,SJW,FEMINISTS SJW COMPILATION,TRIGGERED FEMINISTS,FEMINIST,crazy,hugh,mungus,fails,Cringe Compilation,Cringe,SJW Cringe Compilation,Feminist Fails,getting owned,rekt feminist videos,SJW 2016,cringe 2016,CRINGE COMPILATION,FEMINIST CRINGE Compilation,feminist rekt fails compilation 2016,BEST FEMINIST CRINGE FAIL COMPILATION 2016,BEST FEMINIST CRINGE,BEST FEMINIST CRINGE COMPILATION 2016,2016,Milo,milo yiannopoulos,sjw,social justicewarriors,protest,feminism,fail,triggly,triggered,angry feminist,owned,crazy feminist,trump 2016,montage,compilation,rekt,MGTOW,cringe,cringes,best cringe,cringe 2016	24	Entertainment	PT11M1S	661	2d	hd	false		45	0	0	0	0
16	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	APfm-nEL5uY	2016-12-22T20:27:45.000Z	2016-12-22 21:27:45	FULL EVENT: Donald Trump MASSIVE Rally In St. Augustine, Florida 10/24/16 Trump St. Augustine Speech	FOLLOW THIS LINK NEXT TRUMP RALLY IN TAMPA FLORIDA LIVE ON THIS CHANNEL! WATCH IT HERE! https://www.youtube.com/watch?v=DVMDqilaLPk MAGA ON PATRIOTS!!!!!! TY FOR WATCHING! - MONDAY, OCTOBER 24, 2016 ST. AUGUSTINE, FL Donald J. Trump Rally 3PM ET ​St. Augustine Amphitheatre 3:00 PM stars Donald J. Trump will hold a rally at the St. Augustine Amphitheatre. Gates open at 12:00pm.	25	News & Politics	PT1H41M16S	6076	2d	hd	false		5	0	0	0	0
17	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	fe7Li50Pdxs	2016-12-22T19:48:19.000Z	2016-12-22 20:48:19	Full Leaked Trump Video Recording - Donald Trump Tape 2005 Billy Bush Audio Leak Conversation	The full uncensored 2005 leaked video tape recording and audio of Donald Trump and Billy Bush talking very badly about women. Leaked tape through the Washington Post. In this video, Donald Trump was preparing for an appearance on 'Days of Our Lives' with actress Arianne Zucker. Full Donald Trump apology here: https://youtu.be/u4ZNghcHbaM Donald Trump bragged in vulgar terms about kissing, groping and trying to have sex with women on the conversation caught on a hot microphone saying that “when you’re a star, they let you do it”. The tape includes audio of Bush and Trump’s conversation inside the bus, as well as audio and video once they emerge from it to begin shooting the segment. In that audio, Trump discusses a failed attempt to seduce a woman, whose full name is not given in the leaked video. Donald Trump bragging - Sexism, swearing sexual talk audio video tape. Donald Trump talking about women: locker room banter grab her by the trump Donald Trump exposed Donald Trump 2005 Tape Donald Trump leaked audio message Donald Trump grab her by the pussy Donald Trump grab em by the Trump vulgar video 2016 US election breaking news Trump leaked 2005 conversation Donald Trump leaked video 2005 conversation Donald Trump wikileaks donald trump washington post recording donald trump old 2005 video donald trump lewd remarks donald trump lewd comments Trump says "tities" Trump tape controversial Trump tapes youtube "donald trump youtube" Trump sex talk 2016 U.S. election politics. #HillaryClinton #DonaldTrump #trump #Hillary #WikiLeaks #Trumptape Donald Trump Leaked Video 2005.	25	News & Politics	PT3M16S	196	2d	hd	false		10	0	0	0	0
18	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	okXou29KvPw	2016-12-22T19:46:39.000Z	2016-12-22 20:46:39	Donald Trump's Best Comebacks and Insults at Final Debate with Clinton	October 19, 2016.	25	News & Politics	PT2M19S	139	2d	sd	false		1	0	0	0	0
19	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	WIIFZ3vaL-0	2016-12-22T19:52:02.000Z	2016-12-22 20:52:02	Best & Funniest - Donald Trump Second Presidential Debate	**This video has one of the best parts "Because you'd be in jail" added to it!** These are just some of the best moments of the seconds presidential debate. If you missed the whole debate make sure to check it out! Like this channel? Click the link below to subscribe/support my new gaming channel! http://goo.gl/0LjNjr Connect with us on Facebook: https://www.facebook.com/epuzz Connect with us on Twitter: @puzzluzz Feel free to comment any compilation suggestions! And Subscribe For More!	24	Entertainment	PT16M12S	972	2d	hd	false		3	0	0	0	0
20	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	YNWyG4jMLj8	2016-12-22T19:47:14.000Z	2016-12-22 20:47:14	EXCLUSIVE -- Behind The Scenes Footage Of Donald Trump Touring New Washington, D.C., Hotel		25	News & Politics	PT7M40S	460	2d	hd	false		7	0	0	0	0
21	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	5jcrEdOF_uA	2016-12-22T19:44:26.000Z	2016-12-22 20:44:26	Donald Trump's Campaign Manager Snaps At CNN Anchor Over Trump Barging Into Pageant Dressing Rooms	It Would Mean A Lot To Me If You Guys Support Me By Grabbing An Awesome Hillary For Prison T-shirt Or Hoodie For Winter! https://teespring.com/DouglasWrightYouTube Donald Trump's Campaign Manager Snaps At CNN Anchor Over Trumps Walking Into Pageant Dressing Rooms LIke Comment Subscribe	25	News & Politics	PT8M34S	514	2d	sd	false		6	0	0	0	0
22	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	Baec7Nam9gQ	2016-12-22T19:59:38.000Z	2016-12-22 20:59:38	Full Speech: Donald Trump FANTASTIC Rally in Manchester, New Hampshire (11/7/2016)	Watch Live: Donald Trump & Mike Pence Rally in Manchester, New Hampshire at the SNHU Arena (11/7/2016) - Full Speech: Donald Trump Campaign in Manchester NH - Donald Trump Manchester Speech, New Hampshire Rally GOP presidential candidate Donald Trump Holds Campaign Rally in Manchester, New Hampshire - MONDAY, NOVEMBER 07, 2016 - MANCHESTER, NH Donald J. Trump Manchester Rally, New Hampshire Speech SNHU Arena 8:00 PM Donald J. Trump & Governor Mike Pence will hold a rally at the SNHU	25	News & Politics	PT44M32S	2672	2d	hd	false		0	0	0	0	0
23	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	lDduOD_0Se4	2016-12-22T19:53:50.000Z	2016-12-22 20:53:50	President Elect Donald Trump in a Full Interview.	◙ { Thanks for stopping by my Channel! Be sure to subscribe for daily content! } ◙	25	News & Politics	PT38M7S	2287	2d	hd	false		15	0	0	0	0
24	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	uCkoyvXhML0	2016-12-22T19:42:39.000Z	2016-12-22 20:42:39	Best Donald Trump Vines of all Time Compilation - September 2016 (with Donald Trump Pokemon Remix)	Best Donald Trump Vines of all Time Compilation - September 2016 (Donald Trump Pokemon Theme Song Remix at the End) SUBSCRIBE HERE IF YOU ENJOYED THIS VIDEO: http://bit.ly/XVinesX Links to all vines used in this video: https://vine.co/u/1379165549694763008/likes The second vine compilation of my channel, this time i made a compilation of the best vines of Donald Trump! I hope you enjoy the video! Subsribe to my channel here: http://bit.ly/XVinesX Also don't forget to like and share this video if you enjoyed this compilation of Donald Trump's Best Vines! Contact me here: xvinesxcontact@gmail.com You can contact me if you have any questions, or if you want to send videos, possible topics, logos, fan art or other stuff to me. If you have the rights to a video in this compilation, send me an email (with proof of you owning that video) so that I can give you full credit or delete the video instantly. Please don't strike me, so we can work it out without hurting my channel.	23	Comedy	PT15M41S	941	2d	hd	false		2	0	0	0	0
25	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	QZXcqIJVPig	2016-12-22T19:37:10.000Z	2016-12-22 20:37:10	Do You Wanna Build A Wall? - Donald Trump (Frozen Parody)	What's the best way for United States president-elect Donald Trump to convince people that a wall between America and Mexico is a good idea? Why, a song in the style of Frozen's "Do You Want To Build a Snowman?" of course. Enjoy! Watch more of our funny videos here: ► https://goo.gl/sPmlB3 SUBSCRIBE for more videos: ✚ https://goo.gl/OXkywb Special thanks to David Scott ☻http://goo.gl/ROXzR9 Contains an excerpt from Hard Trance Techno - Eternal ♪ https://goo.gl/IoTtev ================================== Say hi and follow us on social media: ★ https://twitter.com/derickwatts ★ https://www.facebook.com/derickwattsandthesundayblues ★ https://www.instagram.com/derickwattstagram	23	Comedy	PT1M42S	102	2d	hd	false		5	0	0	0	0
26	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	jb1ktLXeBf0	2016-12-22T19:37:52.000Z	2016-12-22 20:37:52	'Grab That P*ssy' Alec Baldwin ROASTS Donald Trump On SNL	donald trump jr donald trump bankruptcy donald trump wife how old is donald trump the donald donald trump show how much is donald trump worth donald trump entrepreneur clinton hillary rodham clinton clinton hillary hillary rodham bill and hillary clinton	25	News & Politics	PT6M40S	400	2d	hd	false		146	0	0	0	0
27	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	kDmYEZuW5tk	2016-12-22T19:35:51.000Z	2016-12-22 20:35:51	¡Donald Trump y Hillary Clinton hablaron en vivo con Tinelli! - Bailando 2016 Showmatch 2016	Suscribite al nuevo canal de LV Art Studio para tener todos los videos de Showmatch 2016 Bailando 2016 el programa de Tinelli y Toda la tv Argentina.	22	People & Blogs	PT7M16S	436	2d	sd	false		2	0	0	0	0
28	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	crgFeFznOzo	2016-12-22T19:35:31.000Z	2016-12-22 20:35:31	Donald Trump's Guns	Love him or hate him, Donald Trump is an armed man. In a 2012 interview, Trump shed some light on what kind of firepower he is toting around and in this video we take a look at what he is most likely toting around in a holster. We know that if we were in the public arena as much as Trump, we would want to be sufficiently armed as well. PLEASE NOTE: This is not a political video. We are neither endorsing nor promoting Trump or his policies. We reached out to the Cruz campaign to find out what guns the Senator uses but they did not respond. If they do, we will make a video about his guns. if we ever figure out what guns Hillary's bodyguards use, we will make a video on her guns as well (Steve thought it would be a waste of time contacting her campaign). Many THANKS to: Ventura Munitions: http://bit.ly/1LKxNRP Please Support Them! They help make our videos possible. ~~~~~~~~~~~~ Also, check out our Patreon page if you enjoy our program, and consider helping us at TFBTV out! https://www.patreon.com/tfbtv	17	Sports	PT3M36S	216	2d	hd	false		4	0	0	0	0
29	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	0crhqqgrxJQ	2016-12-22T19:57:31.000Z	2016-12-22 20:57:31	Donald Trump FULL Court Deposition Video 9/30/16	Donald Trump’s new hotel, the Trump International Hotel in downtown Washington, D.C., after Trump called for a new border wall and called Mexicans “rapists” and “criminals” in December. The Trump organization sued the two chefs, Geoffrey Zakarian and José Andrés, for withdrawing from the leases they signed. As part of the lawsuit against Zakarian, Trump himself was deposed by lawyers in June. Video of that deposition was released Friday, in response to motions by The Washington Post and other news organizations: This video is not available Video shows Republican presidential candidate Donald Trump testifying in June in D.C. as part of a $10 million breach-of-contract lawsuit he filed against famed chef Geoffrey Zakarian. (D.C. Superior Court) Here is the second video showing Republican presidential candidate Donald Trump testifying in June in D.C. as part of a $10 million breach-of-contract lawsuit he filed against famed chef Geoffrey Zakarian. (D.C. Superior Court) In the video, Trump repeatedly defends his rhetoric on the campaign trail, saying his popularity would have helped the restaurants succeed, and showing his disbelief that the two chefs wouldn’t want to operate businesses in his hotel. “I’ve tapped into something,” he said, defending his presidential campaign. “And I’ve tapped into illegal immigration. I’ve tapped into other things, also. But, you know, when you get more votes than anybody in the history of the party, history of the party by far, more than Ronald Reagan, more than Richard Nixon, more than Dwight D. Eisenhower, who won the Second World War, you know, that’s pretty mainstream, when you think about it.” We’ve published the deposition videos in full.	25	News & Politics	PT1H39M34S	5974	2d	hd	false		41	1	0	0	0
30	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	JWuUH-ZLsm0	2016-12-22T19:33:36.000Z	2016-12-22 20:33:36	IDIOTS REACT TO DONALD TRUMP VICTORY COMPILATION #2	Witness the reaction on Donald Trump Victory over Hillary Clinton Part 2. SUBSCRIBE - https://goo.gl/cLdYFi twitter: https://twitter.com/50shadesTV Terrence William's channel https://www.youtube.com/user/couzint915/videos Memes were not injected in this compilation, since people did not get the first video. This video was made to show that it is not bias in any way. The Butt hurt is very strong in this compilation. You can can easily fill a bucket with those tears. A lot of people were hurt during the making of this video. Witness the cries of millions of supporters. Even the news shows their bias views towards trump and it definitely shows their true colors, which makes the win even sweeter. A mixture SJW's and feminist losers.	23	Comedy	PT11M15S	675	2d	hd	false		10	0	0	0	0
31	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	RBkvx84nj3I	2016-12-22T19:51:34.000Z	2016-12-22 20:51:34	FULL EVENT: Donald Trump's MOST POWERFUL EVER Rally in Henderson, Nevada 10/5/16 Trump FULL Speech	Wednesday, October 5, 2016: Live stream coverage of the Donald Trump for President rally in Henderson, NV at ​Henderson Pavilion. The event will begin at 11:30 AM PT. ―――――――――――――――――――――――――――――― ★ Welcome To Our ★ Donald Trump Live Speech & Rally 2016 ★ YT Channel! ★ Subscribe ★ Like ★ Favorite ★ Comment ★ Share ―――――――――――――――――――――――――――――― ★ If You Enjoy The Channel Please Consider To Subscribe ★ UNSTUMPABLE BROADCASTING ★ Favorite Videos ★ ―――――――――――――――――――――――――――――― ★ Hillary The Dog https://www.youtube.com/watch?v=KsXsS... ★ The Snake https://www.youtube.com/watch?v=tKJlh... ★ KKK Protester https://www.youtube.com/watch?v=v11nc... ★ KKK Vampire https://www.youtube.com/watch?v=enylM... ―――――――――――――――――――――――――――――― ―――――――――――――――――――――――――――――― ★ Social Media ★ ★ http://www.donaldjtrump.com/schedule EVENTS ★ https://www.youtube.com/channel/UCzsV... SUBSCRIBE ―――――――――――――――――――――――――――――― Donald J. Trump is the very definition of the American success story, continually setting the standards of excellence while expanding his interests in real estate, sports and entertainment. He is a graduate of the Wharton School of Finance. An accomplished author, Mr. Trump has authored over fifteen bestsellers, and his first book, The Art of the Deal, is considered a business classic and one of the most successful business books of all time. Mr. Trump is the Emmy-nominated star and co-producer of the reality television series, “The Apprentice” which quickly became the number one show on television, making ratings history and receiving rave reviews and world wide attention. “The Celebrity Apprentice” has met with great success as well, being one of the highest rated shows on television. The Apprentice’s record fourteenth season premiered in January, 2015. “You’re fired!” is listed as the third greatest television catchphrase of all time. In 2007, Mr. Trump received a star on the Hollywood Walk of Fame, and he is among the highest paid public speakers in the world. The Apprentice has raised over $15 million for charity. GOP presidential candidate Donald Trump Holds Campaign Rally in Henderson, Nevada 10/5/2016 - Donald Trump Henderson, Nevada 10/5/2016 Donald Trump Donald Trump Henderson, Nevada 10/5/2016 Speech Rally LIVE Donald Trump Henderson, Nevada 10/5/2016 Rally FULL SPEECH HD Henderson, Nevada 10/5/2016 Donald Trump Speech in Henderson, Nevada 10/5/2016 FULL Donald Trump Rally in Henderson, Nevada 10/5/2016 Donald Trump Holds Rally in Henderson, Nevada 10/5/2016 speech Donald Trump Henderson, Nevada 10/5/2016 Rally LIVE Stream: Donald Trump Holds Rally in Henderson, Nevada 10/5/2016 LIVE Stream: Donald Trump Rally in Henderson, Nevada 10/5/2016 LIVE Stream: Donald Trump Event in Henderson, Nevada 10/5/2016 HD Live Donald Trump Immigration Speech Live Donald Trump Immigration Speech In Henderson, Nevada 10/5/2016 Watch Live Donald Trump Speech In Henderson, Nevada 10/5/2016 HD Live stream Donald Trump Will Give A Speech In Nevada Going After Hillary Clinton, Barack Obama, Liberal Media, Republicans ect. Donald Trump Livestream In Henderson, Nevada 10/5/2016 Speech HD. Donald Trump Livestream In Henderson, Nevada 10/5/2016 Rally Speech HD 720	25	News & Politics	PT1H7M10S	4030	2d	hd	false		0	0	0	0	0
32	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	f2VPdfoyBoY	2016-12-22T19:42:21.000Z	2016-12-22 20:42:21	Lewis Black - Live At Gotham Comedy Club NYC (Donald Trump & Mexicans)	Lewis Black: Live At Gotham Comedy Club (New York City) Full Show Lewis Black On Donald Trump & Mexicans LEWIS BLACK HOSTS: With Jim Colliton, Erin Foley, Leonard Ouzts & Luca Palanca !	23	Comedy	PT51M55S	3115	2d	hd	false		719	3	1	0	0
33	UCU9M5hWgyCqI5qxVTq7zQow	Trump VS Putin	wcM3njjQaXM	2016-12-22T19:22:43.000Z	2016-12-22 20:22:43	Donald Trump Slams Jill Stein and Vote Recount Efforts 11 26 16	Donald Trump Slams Jill Stein and Vote Recount Efforts 11/26/16 Donald Trump gives his reaction to the vote recount as a "ridiculous effort" and scam by Jill Stein. Donald Trump says the election results should be respected - November 26, 2016	25	News & Politics	PT2M17S	137	2d	hd	false		3	0	0	0	0
